sample,site,matched,pacbio,excluded,failed_qc,run,barcode
mada_1-7,madagascar,1,0,0,0,madagascar_tb_mdr_4,1
mada_147,madagascar,1,0,0,1,madagascar_tb_controls_mdr_8,9
mada_109,madagascar,1,0,0,0,md_tb_reseq_2019_3,6
mada_1-28,madagascar,1,0,0,0,madagascar_tb_mdr_1,4
mada_135,madagascar,1,0,0,0,madagscar_tb_aug_1,7
mada_1-43,madagascar,1,0,0,0,md_tb_reseq_2019_5,7
mada_2-31,madagascar,1,0,0,0,madagascar_tb_mdr_3,4
mada_2-47,madagascar,1,0,0,1,madagscar_tb_aug_4,11
mada_2-50,madagascar,1,0,0,0,md_tb_reseq_2019_4,7
mada_110,madagascar,1,0,0,0,madagscar_tb_aug_3,4
mada_2-24,madagascar,0,0,1,1,madagscar_tb_aug_6,11
mada_2-1,madagascar,1,0,0,0,madagascar_tb_mdr_3,6
mada_1-22,madagascar,1,0,0,0,md_tb_reseq_2019_4,6
mada_1-36,madagascar,1,0,0,0,madagascar_tb_mdr_6,7
mada_120,madagascar,1,0,0,0,madagascar_tb_mdr_control_7,6
mada_107,madagascar,1,0,0,0,madagascar_tb_controls_4,7
mada_1-51,madagascar,1,0,0,0,madagascar_tb_mdr_control_7,1
mada_1-31,madagascar,1,0,0,1,madagascar_tb_mdr_3,8
mada_1-6,madagascar,1,0,0,0,md_tb_reseq_2019_3,4
mada_1-53,madagascar,1,0,0,0,madagascar_tb_mdr_6,11
mada_130,madagascar,1,1,0,0,madagscar_tb_aug_1,5
mada_2-34,madagascar,1,0,0,0,md_tb_reseq_2019_4,10
mada_1-40,madagascar,1,0,0,0,madagascar_tb_mdr_6,9
mada_143,madagascar,1,0,0,0,md_tb_reseq_2019_2,10
mada_1-42,madagascar,1,0,0,1,madagascar_tb_mdr_5,12
mada_1-25,madagascar,1,0,0,0,madagascar_tb_mdr_6,6
mada_1-30,madagascar,1,0,0,0,madagascar_tb_mdr_5,10
mada_1-33,madagascar,1,0,0,0,md_tb_reseq_2019_5,6
